Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309)
6.33511649952538e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.5494833088315817e-16,8.2115159324978361e-19,2.6508271201104213e-29,8.211515932500958e-19,1.9160072223543935e-29,5.7498052329188101e-30,4.9465411990984002e-57,3.6148412238238061e-49,2.0695748836791926e-59,1.2069354278736016e-86,2.0005495626765933e-89,8.380142967093743e-98,7.9811207437126736e-100,1.7989404640991767e-100,1.8816124498269813e-67,7.8149601645162259e-69,1.5837129692392976e-96,6.0506274473417518e-88,9.6271438634223703e-85,5.1434078519166842e-98,9.6597470471626971e-114
1.7738326198671065e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.1385532647275685e-16,2.2992244611418304e-18,1.6010995805465516e-28,2.2992244611437163e-18,1.1572683623198777e-28,3.4728823607377203e-29,1.5552716970212572e-55,4.291539514678795e-48,4.6295562459702474e-58,1.3647511175314788e-84,1.5437136716442832e-87,1.1723480347249204e-95,1.1165273637840376e-97,2.5166469101826548e-98,1.0837124442992897e-65,4.5010169263724679e-67,3.2277132020615374e-94,6.3332395790888554e-86,1.0076807068590285e-82,9.7419958793435739e-96,3.5498672727959808e-111
4.0544745596962436e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.6316693176516095e-15,5.2553701970956705e-18,7.7086052652789597e-28,5.2553701971047524e-18,5.5717490028739326e-28,1.6720433618149299e-28,3.4697255975234498e-54,4.2134589715821261e-47,9.1472230531923848e-57,1.2348555593903786e-82,1.682414670466204e-85,2.5488170029053996e-93,2.4274611206169696e-95,5.4714848129001493e-96,4.8598214653273604e-64,2.018444906825105e-65,5.8427510300435153e-92,5.6892463731750152e-84,9.0521502477757987e-81,1.7507780494043632e-93,1.2851147183463748e-108
8.615758439354518e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999656,3.4672973000079358e-15,1.1167661669682342e-17,3.3665504425380143e-27,1.1167661669721998e-17,2.4333291726663483e-27,7.3022526466556723e-28,6.498412030330176e-53,3.7267567931558077e-46,1.6276994894838234e-55,9.3559043717993735e-81,1.3763196569593797e-83,4.1764725329879144e-91,3.9776346658691242e-93,8.9655679522589451e-94,1.8283862949059231e-62,7.5938941909308498e-64,8.8612085321926414e-90,4.2901116248829065e-82,6.8259888908251385e-79,2.6432469933974154e-91,3.8999077204859145e-106
1.7738326198671063e-17,0.11224537200000041,0.0,0.0,0.0,0.0,0.99999999999999289,7.1385532647150755e-15,2.2992244617571627e-17,1.4054685390805469e-26,2.2992244617737186e-17,1.015867029540941e-26,3.0485467352574586e-27,1.1224390700470916e-51,3.1325637204054274e-45,2.7453531679705876e-54,6.504266648513589e-79,9.905472458085901e-82,6.0167067149743173e-89,5.7303001978553475e-91,1.2916066978499015e-91,6.3311212230761706e-61,2.6295244462146487e-62,1.2326633616666063e-87,2.9745602728898117e-80,4.7328168992297496e-77,3.6675586074790947e-89,1.0853043454315126e-103
3.5983461717304154e-17,0.11224537200000083,0.0,0.0,0.0,0.0,0.99999999999998546,1.44810651941073e-14,4.6641410524213988e-17,5.7417975752270518e-26,4.6641410524890362e-17,4.1501482860136749e-26,1.2454308133179195e-26,1.8649492887595276e-50,2.5682651336553425e-44,4.5092510500940572e-53,4.3366356487299678e-77,6.7142516746319245e-80,8.1600649918690985e-87,7.7717476138100559e-89,1.7517478874013616e-89,2.1064038948684416e-59,8.7485933762602658e-61,1.6441355109750414e-85,1.9805090252813434e-78,3.1511831470703015e-75,4.8853127655856226e-87,2.8955744776203522e-101
7.247373275457034e-17,0.11224537200000162,0.0,0.0,0.0,0.0,0.99999999999997091,2.9166089052803535e-14,9.3939742380953889e-17,2.3209263833445161e-25,9.3939742383687909e-17,1.6775562932496124e-25,5.0342304773918354e-26,3.0403379851663114e-49,2.0798479092563553e-43,7.3096910079340933e-52,2.8325084807346939e-75,4.4209646710129414e-78,1.0747950925954617e-84,1.0236790667877609e-86,2.3073673139408738e-87,6.8721537396125111e-58,2.8542331561472738e-59,2.1480337967380763e-83,1.29268092114477e-76,2.0567804594082639e-73,6.3782747476162099e-85,7.5665653884579e-99
1.454542748291027e-16,0.11224537200000331,0.0,0.0,0.0,0.0,0.99999999999994105,5.8536136769843107e-14,1.8853640626825425e-16,9.3323429093205923e-25,1.8853640627924762e-16,6.7453800806332833e-25,2.0242419357853007e-25,4.910153823758121e-48,1.6740428897727549e-42,1.1772034403027248e-50,1.8312938200560007e-73,2.8696857849529354e-76,1.3953879840125525e-82,1.3291049609773847e-84,2.9957956950798505e-85,2.2203938464015959e-56,9.2220312734172364e-58,2.7777027781361854e-81,8.3546037710582159e-75,1.3292969698883998e-71,8.2451935601555348e-83,1.9569910973429771e-96
2.914153589781674e-16,0.11224537200000666,0.0,0.0,0.0,0.0,0.99999999999988176,1.1727623220251075e-13,3.777297347381376e-16,3.7426869058301979e-24,3.7772973478222585e-16,2.705199112512849e-24,8.1181155442869342e-25,7.892928403985662e-47,1.3433145527669411e-41,1.8896729969941881e-49,1.1779813445175384e-71,1.8495876658729547e-74,1.7986116521114474e-80,1.7133812226898088e-82,3.8619523925971536e-83,7.139539775870256e-55,2.9652873446082985e-56,3.5736347433528206e-79,5.3731690540664487e-73,8.5492059433217689e-70,1.0605999373038273e-80,5.035597028173703e-94
5.83337527276297e-16,0.11224537200001326,0.0,0.0,0.0,0.0,0.99999999999976386,2.3475642306220002e-13,7.561163944590346e-16,1.4990269374197687e-23,7.5611639463561766e-16,1.0834906739206348e-23,3.2514806182800332e-24,1.2658107253875267e-45,1.0762872127395799e-40,3.0284064735501195e-48,7.5581933958525026e-70,1.1879088608433323e-72,2.3098464672783759e-78,2.2009201977823585e-80,4.9608627018032511e-81,2.2901526839343877e-53,9.511762246836138e-55,4.5859235690824962e-77,3.447254112457614e-71,5.484875911965672e-68,1.36091633546711e-78,1.2924135286317679e-91
1.1671818638725559e-15,0.11224537200002654,0.0,0.0,0.0,0.0,0.99999999999952727,4.6971680475899434e-13,1.5128897250253493e-15,6.0000143263293674e-23,1.5128897257321417e-15,4.336786390299763e-23,1.301439618808477e-23,2.0276536372983116e-44,8.6168563900553212e-40,4.8494039252168618e-47,4.8433734763471107e-68,7.6159934514167997e-71,2.9604212639271578e-76,2.8221739916002898e-78,6.3611654955719544e-79,7.3372996372855751e-52,3.047423187154874e-53,5.87746971110377e-75,2.2089559945817882e-69,3.5146091945373084e-66,1.7441212344206909e-76,3.3128138451533179e-89
2.3348705370650737e-15,0.11224537200005312,0.0,0.0,0.0,0.0,0.99999999999905409,9.39637568062246e-13,3.0264364306560595e-15,2.4007872683553868e-22,3.0264364334841539e-15,1.7352794778600891e-22,5.207453768408656e-23,3.2461310984216693e-43,6.8961270011522738e-39,7.762229548483344e-46,3.1017273669859947e-66,4.878517291254814e-69,3.7890466416872413e-74,3.615581013964511e-76,8.1495007125450182e-77,2.3493458425986085e-50,9.7576086095710419e-52,7.5279732415762384e-73,1.4146175826777543e-67,2.2507225652543531e-64,2.2338566952767666e-74,8.4862475504955919e-87
4.67024788345011e-15,0.11224537200010616,0.0,0.0,0.0,0.0,0.99999999999810862,1.8794790943074039e-12,6.0535300199098012e-15,9.6047123703311608e-22,6.053530031224049e-15,6.942248090842392e-22,2.0833206680553266e-22,5.1953148314946378e-42,5.517986251591169e-38,1.2422174807170643e-44,1.9857424412539505e-64,3.1236176242884119e-67,4.8428044160852409e-72,4.6299854616280642e-74,1.0435962821921546e-74,7.5201583064448768e-49,3.1233688898362379e-50,9.6389282052657326e-71,9.0566035224007742e-66,1.4409010003685207e-62,2.8602353349657496e-72,2.1731861008911141e-84
9.341002576220183e-15,0.11224537200021237,0.0,0.0,0.0,0.0,0.99999999999621636,3.759162145352331e-12,1.2107717910386456e-14,3.8421976286556033e-21,1.2107717955647388e-14,2.777125428293451e-21,8.3339614719718316e-22,8.313696328143521e-41,4.4148671801466242e-37,1.9877758879387324e-43,1.2710877403700981e-62,1.9995474700841083e-65,6.1764256727056623e-70,5.9276730759388201e-72,1.3360943313000325e-72,2.4068077046810194e-47,9.9962567658654876e-49,1.2339933276022901e-68,5.7974787038962671e-64,9.2231590539761281e-61,3.6617130760217056e-70,5.5643104028968055e-82
1.8682511961760325e-14,0.11224537200042468,0.0,0.0,0.0,0.0,0.99999999999243316,7.5185282416606467e-12,2.4216096539215811e-14,1.5369415888929846e-20,2.4216096720268997e-14,1.1108955233034038e-20,3.3337206976235049e-21,1.3302830972780017e-39,3.5321558627145486e-36,3.1806854976995306e-42,8.1357534996143276e-61,1.2798424136497182e-63,7.846621012000202e-68,7.5882112736575004e-70,1.7103786093345226e-70,7.7023350241607122e-46,3.1990265183664488e-47,1.5796734452494682e-66,3.7111404204964941e-62,5.9032534153892093e-59,4.6874778787969469e-68,1.4246107733926059e-79
